species,substance,delta
S. aureus,IMP,-0.132
S. aureus,LEV,-0.2971
S. aureus,LIZ,0.1963
S. aureus,MER,-0.0605
S. aureus,MOX,-0.087
S. aureus,PIT,-1.1362
S. aureus,RAM,-0.0394
S. aureus,ROX,-1.5125
S. aureus,SXT,-0.0886
S. aureus,TOB,10.0667
S. aureus,TPL,-0.1976
S. aureus,VAN,0.0969
E. coli,AMK,-0.1464
E. coli,AMS,56.9784
E. coli,AZT,-0.1329
E. coli,CAZ,0.7352
E. coli,CIP,0.4484
E. coli,COL,-0.6431
E. coli,CTX,0.0168
E. coli,CXM,10.3243
E. coli,FOS,-4.4404
E. coli,GEN,0.1191
E. coli,IMP,0.0093
E. coli,LEV,0.4214
E. coli,MER,-0.0112
E. coli,MOX,0.3716
E. coli,PIP,121.4268
E. coli,PIT,126.4053
E. coli,SXT,31.6102
E. coli,TOB,-0.2973
S. aureus,AMK,1.4483
S. aureus,AMS,-0.153
S. aureus,CIP,-0.0291
S. aureus,CLI,-0.0288
S. aureus,CTX,2.2517
S. aureus,CXM,0.8694
S. aureus,DOX,-0.0037
S. aureus,DPT,-0.2127
S. aureus,FOS,14.7729
S. aureus,GEN,0.1813
S. aureus,IMP,0.0039
S. aureus,LEV,-0.1264
S. aureus,LIZ,0.251
S. aureus,MER,-0.0108
S. aureus,MOX,-0.0505
S. aureus,PIT,0.4005
S. aureus,RAM,0.0015
S. aureus,ROX,-0.3084
S. aureus,SXT,-0.0384
S. aureus,TOB,14.4333
S. aureus,TPL,0.6433
S. aureus,VAN,0.1847
P. aeruginosa,AMK,0.6928
P. aeruginosa,AZT,14.9639
P. aeruginosa,CAZ,3.1616
P. aeruginosa,CIP,-0.0423
P. aeruginosa,COL,0.2713
P. aeruginosa,IMP,1.6372
P. aeruginosa,LEV,0.2644
P. aeruginosa,MER,-0.0368
P. aeruginosa,PIP,-6.5584
P. aeruginosa,PIT,5.0741
P. aeruginosa,TOB,-0.1594
E. coli,AMK,0.5484
E. coli,AMS,-16.3062
E. coli,AZT,-0.84
E. coli,CAZ,-0.6913
E. coli,CIP,-0.4428
E. coli,COL,-0.3298
E. coli,CTX,-0.6474
E. coli,CXM,-12.2685
E. coli,FOS,-4.4785
E. coli,GEN,-0.3213
E. coli,IMP,-0.3375
E. coli,LEV,-0.4637
E. coli,MER,-0.0387
E. coli,MOX,-0.8833
E. coli,PIP,-8.4864
E. coli,PIT,-0.8644
E. coli,SXT,27.2656
E. coli,TOB,0.5014
S. aureus,AMK,-2.4982
S. aureus,AMS,-0.3983
S. aureus,CIP,-0.6331
S. aureus,CLI,-0.0997
S. aureus,CTX,-1.4484
S. aureus,CXM,-2.8358
S. aureus,DOX,-0.1376
S. aureus,DPT,0.0151
S. aureus,FOS,-3.312
S. aureus,GEN,-0.6788
S. aureus,IMP,-0.1114
S. aureus,LEV,-0.3832
S. aureus,LIZ,0.2009
S. aureus,MER,-0.2092
S. aureus,MOX,-0.0759
S. aureus,PIT,-1.0311
S. aureus,RAM,-0.0331
S. aureus,ROX,30.1482
S. aureus,SXT,7.8545
S. aureus,TOB,10.5674
S. aureus,TPL,-0.2003
S. aureus,VAN,-0.395
E. coli,AMK,0.7451
E. coli,AMS,-7.0097
E. coli,AZT,-0.2731
E. coli,CAZ,-0.26
E. coli,CIP,-0.0066
E. coli,COL,-0.2995
E. coli,CTX,-0.1694
E. coli,CXM,-6.1176
E. coli,FOS,-1.4213
E. coli,GEN,-0.0128
E. coli,IMP,-0.2258
E. coli,LEV,0.0643
E. coli,MER,-0.0196
E. coli,MOX,-0.0763
E. coli,PIP,-5.0657
E. coli,PIT,0.0642
E. coli,SXT,-0.966
E. coli,TOB,0.5899
S. aureus,AMK,0.5792
S. aureus,AMS,0.2975
S. aureus,CIP,0.065
S. aureus,CLI,-0.0632
S. aureus,CTX,0.4867
S. aureus,CXM,-0.2292
S. aureus,DOX,-0.0729
S. aureus,DPT,-0.2587
S. aureus,FOS,-0.1657
S. aureus,GEN,0.0076
S. aureus,IMP,0.0052
S. aureus,LEV,0.0594
S. aureus,LIZ,0.2057
S. aureus,MER,-0.0155
S. aureus,MOX,-0.034
S. aureus,PIT,0.5216
S. aureus,RAM,-0.0108
S. aureus,ROX,0.1781
S. aureus,SXT,-0.0314
S. aureus,TOB,37.0745
S. aureus,TPL,-0.1689
S. aureus,VAN,0.2045
P. aeruginosa,AMK,-0.0526
P. aeruginosa,AZT,-5.4856
P. aeruginosa,CAZ,-3.3708
P. aeruginosa,CIP,-0.8252
P. aeruginosa,COL,0.2276
P. aeruginosa,IMP,-0.7649
P. aeruginosa,LEV,-0.6582
P. aeruginosa,MER,0.0471
P. aeruginosa,PIP,-60.2207
P. aeruginosa,PIT,-5.2073
P. aeruginosa,TOB,-0.4553
P. aeruginosa,AMK,0.5328
P. aeruginosa,AZT,27.4592
P. aeruginosa,CAZ,5.167
P. aeruginosa,CIP,0.0576
P. aeruginosa,COL,0.3297
P. aeruginosa,IMP,0.4531
P. aeruginosa,LEV,1.4122
P. aeruginosa,MER,0.3647
P. aeruginosa,PIP,-0.7007
P. aeruginosa,PIT,10.4357
P. aeruginosa,TOB,-0.3868
S. aureus,AMK,-13.6406
S. aureus,AMS,-0.4807
S. aureus,CIP,-0.7983
S. aureus,CLI,-0.9884
S. aureus,CTX,-3.5254
S. aureus,CXM,-7.5599
S. aureus,DOX,-0.5699
S. aureus,DPT,-0.223
S. aureus,FOS,-10.3366
S. aureus,GEN,-7.5127
S. aureus,IMP,-0.2466
S. aureus,LEV,-0.5048
S. aureus,LIZ,1.0853
S. aureus,MER,-0.5538
S. aureus,MOX,-0.1568
S. aureus,PIT,-1.463
S. aureus,RAM,-0.158
S. aureus,ROX,-2.5321
S. aureus,SXT,-0.1064
S. aureus,TOB,20.2892
S. aureus,TPL,-0.1495
S. aureus,VAN,-0.4952
E. coli,AMK,-0.2425
E. coli,AMS,-13.0557
E. coli,AZT,-0.7239
E. coli,CAZ,-0.5792
E. coli,CIP,-0.0822
E. coli,COL,-0.5829
E. coli,CTX,-0.4636
E. coli,CXM,-9.0531
E. coli,FOS,-14.0805
E. coli,GEN,0.0191
E. coli,IMP,-0.2681
E. coli,LEV,-0.1129
E. coli,MER,-0.0317
E. coli,MOX,-0.215
E. coli,PIP,-10.3894
E. coli,PIT,-0.6746
E. coli,SXT,-0.7328
E. coli,TOB,0.1209
P. aeruginosa,AMK,0.6416
P. aeruginosa,AZT,3.3832
P. aeruginosa,CAZ,5.1924
P. aeruginosa,CIP,-0.0568
P. aeruginosa,COL,0.3875
P. aeruginosa,IMP,0.4945
P. aeruginosa,LEV,0.2378
P. aeruginosa,MER,0.8675
P. aeruginosa,PIP,-13.3872
P. aeruginosa,PIT,2.4339
P. aeruginosa,TOB,0.6102
P. aeruginosa,AMK,-0.6301
P. aeruginosa,AZT,-5.3245
P. aeruginosa,CAZ,-5.7652
P. aeruginosa,CIP,-1.4674
P. aeruginosa,COL,0.0352
P. aeruginosa,IMP,0.0434
P. aeruginosa,LEV,-1.9281
P. aeruginosa,MER,0.0145
P. aeruginosa,PIP,-70.0618
P. aeruginosa,PIT,-5.4187
P. aeruginosa,TOB,-0.7992
S. aureus,AMK,3.6857
S. aureus,AMS,-0.0968
S. aureus,CIP,0.061
S. aureus,CLI,-0.0083
S. aureus,CTX,-0.255
S. aureus,CXM,0.3091
S. aureus,DOX,0.0164
S. aureus,DPT,-0.034
S. aureus,FOS,31.1479
S. aureus,GEN,0.4698
S. aureus,IMP,0.0213
S. aureus,LEV,-0.1648
S. aureus,LIZ,0.2879
S. aureus,MER,0.0159
S. aureus,MOX,-0.0356
S. aureus,PIT,0.5424
S. aureus,RAM,0.0068
S. aureus,ROX,-0.3115
S. aureus,SXT,-0.027
S. aureus,TOB,18.6795
S. aureus,TPL,0.1377
S. aureus,VAN,0.2395
P. aeruginosa,AMK,0.1914
P. aeruginosa,AZT,11.5996
P. aeruginosa,CAZ,1.0649
P. aeruginosa,CIP,-4.8177
P. aeruginosa,COL,0.1451
P. aeruginosa,IMP,1.3208
P. aeruginosa,LEV,-4.7593
P. aeruginosa,MER,-0.0811
P. aeruginosa,PIP,-27.9734
P. aeruginosa,PIT,-1.5921
P. aeruginosa,TOB,-0.1601
E. coli,AMK,0.9471
E. coli,AMS,60.1762
E. coli,AZT,0.0217
E. coli,CAZ,0.3759
E. coli,CIP,0.1008
E. coli,COL,-0.2965
E. coli,CTX,0.0921
E. coli,CXM,1.0675
E. coli,FOS,2.2627
E. coli,GEN,0.7062
E. coli,IMP,-0.1215
E. coli,LEV,0.0863
E. coli,MER,0.002
E. coli,MOX,0.1877
E. coli,PIP,28.0968
E. coli,PIT,0.9302
E. coli,SXT,31.8279
E. coli,TOB,0.1686
S. aureus,AMK,1.3096
S. aureus,AMS,-0.0634
S. aureus,CIP,0.6025
S. aureus,CLI,0.0258
S. aureus,CTX,1.0054
S. aureus,CXM,0.2858
S. aureus,DOX,-0.0253
S. aureus,DPT,-0.0398
S. aureus,FOS,6.5117
S. aureus,GEN,0.1594
S. aureus,IMP,0.0144
S. aureus,LEV,0.0768
S. aureus,LIZ,0.2976
S. aureus,MER,0.0069
S. aureus,MOX,0.0171
S. aureus,PIT,-0.1684
S. aureus,RAM,0.0013
S. aureus,ROX,0.4758
S. aureus,SXT,-0.0272
S. aureus,TOB,39.4901
S. aureus,TPL,0.1958
S. aureus,VAN,0.3025
Ent. faecalis,AMS,-0.2634
