species,substance,delta
E. coli,CTX,-1.3032
E. coli,CXM,-20.8952
E. coli,FOS,-18.2576
E. coli,GEN,-0.1768
E. coli,IMP,-0.3645
E. coli,LEV,-0.3488
E. coli,MER,-0.049
E. coli,MOX,-0.5852
E. coli,PIP,-18.8952
E. coli,PIT,-2.6918
E. coli,SXT,-2.3325
E. coli,TOB,0.0655
P. aeruginosa,AMK,0.421
P. aeruginosa,AZT,-0.6155
P. aeruginosa,CAZ,-0.835
P. aeruginosa,CIP,-0.7582
P. aeruginosa,COL,0.336
P. aeruginosa,IMP,1.3301
P. aeruginosa,LEV,-0.6162
P. aeruginosa,MER,-0.0934
P. aeruginosa,PIP,-40.0808
P. aeruginosa,PIT,8.6327
P. aeruginosa,TOB,-0.2383
E. coli,AMK,-0.4641
E. coli,AMS,-27.968
E. coli,AZT,-1.3227
E. coli,CAZ,-1.0077
E. coli,CIP,-0.5525
E. coli,COL,-0.2898
E. coli,CTX,-1.0853
E. coli,CXM,-17.2426
E. coli,FOS,-14.9519
E. coli,GEN,-0.5827
E. coli,IMP,-0.3743
E. coli,LEV,-0.6889
E. coli,MER,-0.0469
E. coli,MOX,-1.3365
E. coli,PIP,-15.8932
E. coli,PIT,-1.4102
E. coli,SXT,-4.7832
E. coli,TOB,0.0097
S. aureus,AMK,-3.6962
S. aureus,AMS,1.2079
S. aureus,CIP,-0.7343
S. aureus,CLI,-0.5128
S. aureus,CTX,-4.3529
S. aureus,CXM,-7.4492
S. aureus,DOX,-0.157
S. aureus,DPT,-0.1112
S. aureus,FOS,0.095
S. aureus,GEN,-2.9153
S. aureus,IMP,-0.2905
S. aureus,LEV,-0.6805
S. aureus,LIZ,0.1681
S. aureus,MER,-0.5733
S. aureus,MOX,-0.1618
S. aureus,PIT,-0.1031
S. aureus,RAM,-0.0924
S. aureus,ROX,-2.1629
S. aureus,SXT,0.0653
S. aureus,TOB,7.8332
S. aureus,TPL,-0.1821
S. aureus,VAN,0.0501
Ent. faecalis,AMS,0.0723
Ent. faecalis,IMP,0.22
Ent. faecalis,LIZ,0.9739
Ent. faecalis,PIP,40.2148
Ent. faecalis,PIT,0.9402
Ent. faecalis,SXT,3.7753
Ent. faecalis,TPL,0.2637
Ent. faecalis,VAN,-0.1143
P. aeruginosa,AMK,-0.3072
P. aeruginosa,AZT,2.8803
P. aeruginosa,CAZ,1.1078
P. aeruginosa,CIP,-0.1485
P. aeruginosa,COL,0.2795
P. aeruginosa,IMP,0.6317
P. aeruginosa,LEV,-0.107
P. aeruginosa,MER,-0.0382
P. aeruginosa,PIP,16.9466
P. aeruginosa,PIT,0.9754
P. aeruginosa,TOB,-0.1568
S. aureus,AMK,-0.8243
S. aureus,AMS,-0.2483
S. aureus,CIP,-0.1842
S. aureus,CLI,-0.0766
S. aureus,CTX,-0.6734
S. aureus,CXM,-0.4819
S. aureus,DOX,-0.0882
S. aureus,DPT,-0.1956
S. aureus,FOS,5.2761
S. aureus,GEN,-0.324
S. aureus,IMP,-0.0462
S. aureus,LEV,-0.2303
S. aureus,LIZ,0.1955
S. aureus,MER,-0.0987
S. aureus,MOX,-0.0793
S. aureus,PIT,0.1114
S. aureus,RAM,-0.0196
S. aureus,ROX,-0.8907
S. aureus,SXT,-0.0599
S. aureus,TOB,16.2889
S. aureus,TPL,-0.1997
S. aureus,VAN,-0.3767
Ent. faecalis,AMS,-0.5618
Ent. faecalis,IMP,0.1856
Ent. faecalis,LIZ,0.1396
Ent. faecalis,PIP,17.7506
Ent. faecalis,PIT,-1.6058
Ent. faecalis,SXT,-0.1121
Ent. faecalis,TPL,-0.1704
Ent. faecalis,VAN,0.0377
Ent. faecalis,AMS,-2.5025
Ent. faecalis,IMP,-0.093
Ent. faecalis,LIZ,-1.8957
Ent. faecalis,PIP,252.8102
Ent. faecalis,PIT,-2.6348
Ent. faecalis,SXT,-0.9188
Ent. faecalis,TPL,-0.6671
Ent. faecalis,VAN,-1.9424
Ent. faecalis,AMS,-2.4828
Ent. faecalis,IMP,-1.9729
Ent. faecalis,LIZ,0.0992
Ent. faecalis,PIP,10.9804
Ent. faecalis,PIT,-7.791
Ent. faecalis,SXT,-0.3236
Ent. faecalis,TPL,-0.1464
Ent. faecalis,VAN,0.8899
E. coli,AMK,-1.086
E. coli,AMS,-8.2912
E. coli,AZT,-0.1705
E. coli,CAZ,15.4047
E. coli,CIP,-0.1761
E. coli,COL,3.2041
E. coli,CTX,-0.2764
E. coli,CXM,-9.9744
E. coli,FOS,-10.9978
E. coli,GEN,-0.3745
E. coli,IMP,-0.0911
E. coli,LEV,-0.2911
E. coli,MER,-0.0297
E. coli,MOX,-0.5663
E. coli,PIP,-8.4581
E. coli,PIT,-0.4331
E. coli,SXT,-1.8694
E. coli,TOB,0.0589
E. coli,AMK,-0.3468
E. coli,AMS,-14.4681
E. coli,AZT,-0.5185
E. coli,CAZ,-0.4523
E. coli,CIP,-0.2486
E. coli,COL,-0.3081
E. coli,CTX,-0.3539
E. coli,CXM,-9.7478
E. coli,FOS,-3.1071
E. coli,GEN,-0.3931
E. coli,IMP,-0.0913
E. coli,LEV,-0.322
E. coli,MER,-0.0292
E. coli,MOX,-0.6318
E. coli,PIP,-8.3851
E. coli,PIT,-0.3924
E. coli,SXT,-2.074
E. coli,TOB,0.051
E. coli,AMK,-1.003
E. coli,AMS,-4.9262
E. coli,AZT,-0.5014
E. coli,CAZ,-0.4283
E. coli,CIP,-0.1004
E. coli,COL,-0.2471
E. coli,CTX,-0.3147
E. coli,CXM,-8.8296
E. coli,FOS,-11.6568
E. coli,GEN,-0.2511
E. coli,IMP,-0.2519
E. coli,LEV,-0.1359
E. coli,MER,-0.0268
E. coli,MOX,-0.2168
E. coli,PIP,4.9986
E. coli,PIT,-1.35
E. coli,SXT,-0.866
E. coli,TOB,-0.3319
Ent. faecalis,AMS,-3.3526
Ent. faecalis,IMP,-0.5702
Ent. faecalis,LIZ,-1.5444
Ent. faecalis,PIP,136.1846
Ent. faecalis,PIT,-2.4326
Ent. faecalis,SXT,-1.1164
Ent. faecalis,TPL,-0.829
Ent. faecalis,VAN,-1.3602
S. aureus,AMK,-59.1332
S. aureus,AMS,-2.1856
S. aureus,CIP,5.1393
S. aureus,CLI,-5.6711
S. aureus,CTX,-13.4602
S. aureus,CXM,-47.8588
S. aureus,DOX,-1.6378
S. aureus,DPT,-0.7138
S. aureus,FOS,-28.5233
S. aureus,GEN,-78.1613
S. aureus,IMP,-1.8352
S. aureus,LEV,1.4151
S. aureus,LIZ,0.1255
S. aureus,MER,-4.4619
S. aureus,MOX,1.237
S. aureus,PIT,-6.9319
S. aureus,RAM,-0.5257
S. aureus,ROX,-9.7691
S. aureus,SXT,-0.2699
S. aureus,TOB,-4.2473
S. aureus,TPL,0.2171
S. aureus,VAN,-0.5665
P. aeruginosa,AMK,0.4257
P. aeruginosa,AZT,-3.5046
P. aeruginosa,CAZ,-3.3248
P. aeruginosa,CIP,-0.8664
P. aeruginosa,COL,0.3248
P. aeruginosa,IMP,1.3499
P. aeruginosa,LEV,-0.6117
P. aeruginosa,MER,0.3482
P. aeruginosa,PIP,-37.0966
P. aeruginosa,PIT,1.0574
P. aeruginosa,TOB,0.009
S. aureus,AMK,-4.2627
S. aureus,AMS,0.5765
S. aureus,CIP,-0.2866
S. aureus,CLI,-0.3597
S. aureus,CTX,-1.8169
S. aureus,CXM,-2.9296
S. aureus,DOX,-0.2897
S. aureus,DPT,-0.3478
S. aureus,FOS,250.0862
S. aureus,GEN,-1.9438
S. aureus,IMP,-0.1069
S. aureus,LEV,-0.174
S. aureus,LIZ,0.1134
S. aureus,MER,-0.2381
S. aureus,MOX,-0.0982
S. aureus,PIT,0.8792
S. aureus,RAM,-0.0744
S. aureus,ROX,-1.7563
S. aureus,SXT,-0.0752
S. aureus,TOB,22.9076
S. aureus,TPL,-0.1623
S. aureus,VAN,-0.4477
S. aureus,AMK,-30.3803
S. aureus,AMS,-11.95
S. aureus,CIP,-5.7969
S. aureus,CLI,-75.9217
S. aureus,CTX,-21.5635
S. aureus,CXM,-124.2208
S. aureus,DOX,-12.1223
S. aureus,DPT,-11.8519
S. aureus,FOS,13.5517
S. aureus,GEN,-57.0114
S. aureus,IMP,-1.5152
S. aureus,LEV,-6.4803
S. aureus,LIZ,-12.1835
S. aureus,MER,-1.6845
S. aureus,MOX,-4.4855
S. aureus,PIT,-7.6536
S. aureus,RAM,-8.8161
S. aureus,ROX,-77.5377
S. aureus,SXT,-4.3892
S. aureus,TOB,466.4852
S. aureus,TPL,-3.5875
S. aureus,VAN,-9.3144
S. aureus,AMK,-0.9672
S. aureus,AMS,-0.3253
S. aureus,CIP,0.1864
S. aureus,CLI,-0.2288
S. aureus,CTX,-1.7123
S. aureus,CXM,-2.5991
S. aureus,DOX,-0.0504
S. aureus,DPT,-0.0635
S. aureus,FOS,58.7712
S. aureus,GEN,-1.1173
S. aureus,IMP,-0.1085
S. aureus,LEV,-0.1969
S. aureus,LIZ,1.1391
S. aureus,MER,-0.2302
S. aureus,MOX,-0.058
S. aureus,PIT,0.8343
S. aureus,RAM,-0.0601
S. aureus,ROX,-1.1358
S. aureus,SXT,15.86
S. aureus,TOB,19.4216
S. aureus,TPL,0.7024
S. aureus,VAN,0.0675
E. coli,AMK,0.8348
E. coli,AMS,-8.739
E. coli,AZT,-0.2979
E. coli,CAZ,-0.2705
E. coli,CIP,0.0072
E. coli,COL,0.2718
E. coli,CTX,-0.1685
E. coli,CXM,-7.3982
E. coli,FOS,5.1425
E. coli,GEN,0.6046
E. coli,IMP,-0.0196
E. coli,LEV,0.0404
E. coli,MER,-0.0186
E. coli,MOX,0.1161
E. coli,PIP,-6.3374
E. coli,PIT,-1.7235
E. coli,SXT,-0.3671
E. coli,TOB,0.1436
Ent. faecalis,AMS,-0.0933
Ent. faecalis,IMP,0.2329
Ent. faecalis,LIZ,1.0664
Ent. faecalis,PIP,25.3762
Ent. faecalis,PIT,0.6497
Ent. faecalis,SXT,-0.1702
Ent. faecalis,TPL,-0.1397
Ent. faecalis,VAN,-0.0556
S. aureus,AMK,-3.8184
S. aureus,AMS,-0.3869
S. aureus,CIP,-0.6396
S. aureus,CLI,-0.346
S. aureus,CTX,-1.9094
S. aureus,CXM,-3.9581
S. aureus,DOX,-0.2319
S. aureus,DPT,-0.0562
S. aureus,FOS,-4.8119
S. aureus,GEN,-1.3517
S. aureus,IMP,-0.1327
S. aureus,LEV,-0.3833
S. aureus,LIZ,-0.344
S. aureus,MER,-0.2691
S. aureus,MOX,-0.0756
S. aureus,PIT,-1.0676
S. aureus,RAM,-0.0588
S. aureus,ROX,-1.9815
S. aureus,SXT,-0.0856
S. aureus,TOB,15.7578
S. aureus,TPL,-0.1792
S. aureus,VAN,0.0714
E. coli,AMK,0.8813
E. coli,AMS,3.0268
E. coli,AZT,0.0006
E. coli,CAZ,-0.0216
E. coli,CIP,7.9536
E. coli,COL,-0.5807
E. coli,CTX,-0.0125
E. coli,CXM,0.5151
E. coli,FOS,-1.8252
E. coli,GEN,0.14
E. coli,IMP,0.0466
E. coli,LEV,7.9297
E. coli,MER,-0.0014
E. coli,MOX,7.8799
E. coli,PIP,11.3738
E. coli,PIT,-0.1646
E. coli,SXT,-0.2735
E. coli,TOB,0.1353
P. aeruginosa,AMK,-0.3598
P. aeruginosa,AZT,3.6787
P. aeruginosa,CAZ,13.3365
P. aeruginosa,CIP,0.0631
P. aeruginosa,COL,0.3809
P. aeruginosa,IMP,0.5004
P. aeruginosa,LEV,-0.0184
P. aeruginosa,MER,0.119
P. aeruginosa,PIP,3.3973
P. aeruginosa,PIT,26.5888
P. aeruginosa,TOB,-0.1426
E. coli,AMK,0.9615
E. coli,AMS,-1.2427
E. coli,AZT,0.4257
E. coli,CAZ,0.4051
E. coli,CIP,-0.0067
E. coli,COL,1.1774
E. coli,CTX,0.0095
E. coli,CXM,1.6538
E. coli,FOS,3.1292
E. coli,GEN,0.2163
E. coli,IMP,0.08
E. coli,LEV,-0.0045
E. coli,MER,0.0058
E. coli,MOX,-0.0429
E. coli,PIP,0.6836
E. coli,PIT,1.0722
E. coli,SXT,-0.0934
E. coli,TOB,0.6683
P. aeruginosa,AMK,0.3757
P. aeruginosa,AZT,21.6427
P. aeruginosa,CAZ,2.3501
P. aeruginosa,CIP,6.8303
P. aeruginosa,COL,0.3324
P. aeruginosa,IMP,31.2844
P. aeruginosa,LEV,14.5537
P. aeruginosa,MER,7.8372
P. aeruginosa,PIP,73.7119
P. aeruginosa,PIT,120.0085
P. aeruginosa,TOB,15.4933
Ent. faecalis,AMS,0.5528
Ent. faecalis,IMP,0.6193
Ent. faecalis,LIZ,0.0009
Ent. faecalis,PIP,32.5476
Ent. faecalis,PIT,-0.87
Ent. faecalis,SXT,-0.217
Ent. faecalis,TPL,-0.1171
Ent. faecalis,VAN,-0.1308
S. aureus,AMK,-41.4363
S. aureus,AMS,-6.1199
S. aureus,CIP,-3.4058
S. aureus,CLI,-39.7511
S. aureus,CTX,-17.3731
S. aureus,CXM,-96.9759
S. aureus,DOX,-7.7399
S. aureus,DPT,-5.4999
S. aureus,FOS,-47.3746
S. aureus,GEN,-66.3833
S. aureus,IMP,-1.2577
S. aureus,LEV,-3.6375
S. aureus,LIZ,-4.6272
S. aureus,MER,-1.7926
S. aureus,MOX,-2.0133
S. aureus,PIT,-5.777
S. aureus,RAM,-4.435
S. aureus,ROX,-40.0906
S. aureus,SXT,-1.9515
S. aureus,TOB,444.9386
S. aureus,TPL,-1.5076
S. aureus,VAN,-4.0886
S. aureus,AMK,1.7298
S. aureus,AMS,-0.3922
S. aureus,CIP,0.2033
S. aureus,CLI,0.0947
S. aureus,CTX,0.0416
S. aureus,CXM,0.7638
S. aureus,DOX,0.2094
S. aureus,DPT,0.7237
S. aureus,FOS,-0.442
S. aureus,GEN,0.22
S. aureus,IMP,-0.034
S. aureus,LEV,-0.2079
S. aureus,LIZ,1.354
S. aureus,MER,-0.0445
S. aureus,MOX,-0.0001
S. aureus,PIT,-0.0318
S. aureus,RAM,0.0072
S. aureus,ROX,-0.3203
S. aureus,SXT,-0.0665
S. aureus,TOB,-8.5531
S. aureus,TPL,-0.2981
S. aureus,VAN,-0.2699
S. aureus,AMK,-1.1164
S. aureus,AMS,0.7185
S. aureus,CIP,-0.0729
S. aureus,CLI,-0.1829
S. aureus,CTX,-0.6716
S. aureus,CXM,-0.6396
S. aureus,DOX,-0.155
S. aureus,DPT,-0.0139
S. aureus,FOS,-2.9873
S. aureus,GEN,-0.5044
S. aureus,IMP,-0.0288
S. aureus,LEV,-0.1477
S. aureus,LIZ,-0.3774
S. aureus,MER,-0.085
S. aureus,MOX,-0.056
S. aureus,PIT,1.2928
S. aureus,RAM,-0.0366
S. aureus,ROX,-0.987
S. aureus,SXT,-0.0481
S. aureus,TOB,28.0457
S. aureus,TPL,0.2067
S. aureus,VAN,-0.4123
Ent. faecalis,AMS,2.4044
Ent. faecalis,IMP,-0.8031
Ent. faecalis,LIZ,0.1428
Ent. faecalis,PIP,9.433
Ent. faecalis,PIT,-0.6844
Ent. faecalis,SXT,-0.0209
Ent. faecalis,TPL,-0.167
Ent. faecalis,VAN,-0.0227
E. coli,AMK,0.3717
E. coli,AMS,-40.3316
E. coli,AZT,-1.4772
E. coli,CAZ,-1.142
E. coli,CIP,-1.8671
E. coli,COL,-0.3786
E. coli,CTX,-1.3777
E. coli,CXM,-20.9116
E. coli,FOS,2.0
E. coli,GEN,-0.6997
E. coli,IMP,0.0011
E. coli,LEV,-2.1116
E. coli,MER,-0.0528
E. coli,MOX,-4.5641
E. coli,PIP,-22.3271
E. coli,PIT,-1.595
E. coli,SXT,-16.2931
E. coli,TOB,-0.0906
P. aeruginosa,AMK,0.7608
P. aeruginosa,AZT,29.2681
P. aeruginosa,CAZ,62.2046
P. aeruginosa,CIP,0.4283
P. aeruginosa,COL,0.4047
P. aeruginosa,IMP,15.5861
P. aeruginosa,LEV,0.1386
P. aeruginosa,MER,7.8831
P. aeruginosa,PIP,107.5516
P. aeruginosa,PIT,123.5896
P. aeruginosa,TOB,-0.0937
E. coli,AMK,-0.0877
E. coli,AMS,-1.5932
E. coli,AZT,-0.0949
E. coli,CAZ,-0.1045
E. coli,CIP,0.0957
E. coli,COL,-0.2405
E. coli,CTX,0.0405
E. coli,CXM,3.1091
E. coli,FOS,55.6635
E. coli,GEN,0.1806
E. coli,IMP,0.0294
E. coli,LEV,0.0781
E. coli,MER,-0.0078
E. coli,MOX,0.1774
E. coli,PIP,-1.6758
E. coli,PIT,0.5176
E. coli,SXT,-0.1556
E. coli,TOB,0.1689
S. aureus,AMK,-13.5458
S. aureus,AMS,-0.8012
S. aureus,CIP,6.2054
S. aureus,CLI,-1.255
S. aureus,CTX,-5.7465
S. aureus,CXM,-14.877
S. aureus,DOX,-0.5469
S. aureus,DPT,-0.4389
S. aureus,FOS,-12.3103
S. aureus,GEN,-8.608
S. aureus,IMP,-0.6385
S. aureus,LEV,6.6376
S. aureus,LIZ,-0.5723
S. aureus,MER,-1.2973
S. aureus,MOX,3.61
S. aureus,PIT,-2.5947
S. aureus,RAM,-0.1558
S. aureus,ROX,-4.7244
S. aureus,SXT,-0.1756
S. aureus,TOB,-0.8953
S. aureus,TPL,-0.1836
S. aureus,VAN,-0.478
S. aureus,AMK,-74.095
S. aureus,AMS,-1.8025
S. aureus,CIP,-1.8792
S. aureus,CLI,-6.7964
S. aureus,CTX,-13.221
S. aureus,CXM,-52.1945
S. aureus,DOX,-1.9139
S. aureus,DPT,-0.7666
S. aureus,FOS,-33.6236
S. aureus,GEN,-105.7703
S. aureus,IMP,-1.9337
S. aureus,LEV,-2.3483
S. aureus,LIZ,0.1072
S. aureus,MER,-4.8537
S. aureus,MOX,-0.704
S. aureus,PIT,-6.2972
S. aureus,RAM,-0.6231
S. aureus,ROX,-10.5678
S. aureus,SXT,-0.2731
S. aureus,TOB,-2.2991
S. aureus,TPL,-0.1508
S. aureus,VAN,-0.0819
E. coli,AMK,0.7526
E. coli,AMS,-7.9883
E. coli,AZT,-0.1966
E. coli,CAZ,-0.1989
E. coli,CIP,0.3707
E. coli,COL,-0.3191
E. coli,CTX,-0.1228
E. coli,CXM,-3.0441
E. coli,FOS,7.5625
E. coli,GEN,-0.0063
E. coli,IMP,-0.0248
E. coli,LEV,0.3181
E. coli,MER,-0.0163
E. coli,MOX,0.1758
E. coli,PIP,-4.1931
E. coli,PIT,0.2343
E. coli,SXT,15.0021
E. coli,TOB,1.5875
Ent. faecalis,AMS,-1.0326
Ent. faecalis,IMP,0.2012
Ent. faecalis,LIZ,0.6617
Ent. faecalis,PIP,15.2365
Ent. faecalis,PIT,1.8534
Ent. faecalis,SXT,-0.3382
Ent. faecalis,TPL,-0.1948
Ent. faecalis,VAN,-0.4474
Ent. faecalis,AMS,-0.0896
Ent. faecalis,IMP,1.1079
Ent. faecalis,LIZ,0.0107
Ent. faecalis,PIP,33.6718
Ent. faecalis,PIT,0.4719
Ent. faecalis,SXT,-0.1771
Ent. faecalis,TPL,-0.1214
Ent. faecalis,VAN,-0.0992
E. coli,AMK,-0.9148
E. coli,AMS,-7.1718
E. coli,AZT,-0.1239
E. coli,CAZ,-0.1336
E. coli,CIP,-0.0469
E. coli,COL,-0.6613
E. coli,CTX,-0.0741
E. coli,CXM,-4.6273
E. coli,FOS,-7.5837
E. coli,GEN,-0.3407
E. coli,IMP,-0.1806
E. coli,LEV,-0.0623
E. coli,MER,-0.011
E. coli,MOX,-0.0941
E. coli,PIP,-6.3777
E. coli,PIT,-1.3228
E. coli,SXT,-0.4099
E. coli,TOB,-0.1215
E. coli,AMK,-0.1582
E. coli,AMS,58.9919
E. coli,AZT,0.0316
E. coli,CAZ,0.0073
E. coli,CIP,7.9259
E. coli,COL,-0.6511
E. coli,CTX,-0.0009
E. coli,CXM,-2.4921
E. coli,FOS,3.2809
E. coli,GEN,-0.1606
E. coli,IMP,0.0504
E. coli,LEV,1.8931
E. coli,MER,0.0013
E. coli,MOX,1.803
E. coli,PIP,123.6976
E. coli,PIT,-0.7831
E. coli,SXT,-0.468
E. coli,TOB,0.1025
S. aureus,AMK,-18.0253
S. aureus,AMS,-0.7702
S. aureus,CIP,-1.1491
S. aureus,CLI,-1.4601
S. aureus,CTX,-5.1347
S. aureus,CXM,-12.6324
S. aureus,DOX,-0.7234
S. aureus,DPT,-0.2667
S. aureus,FOS,-12.5124
S. aureus,GEN,-12.9553
S. aureus,IMP,-0.449
S. aureus,LEV,-0.9157
S. aureus,LIZ,0.1058
S. aureus,MER,-0.9956
S. aureus,MOX,-0.2495
S. aureus,PIT,-1.5786
S. aureus,RAM,-0.2081
S. aureus,ROX,-4.1509
S. aureus,SXT,-0.1423
S. aureus,TOB,12.4018
S. aureus,TPL,0.2198
S. aureus,VAN,-0.0087
Ent. faecalis,AMS,-3.1609
Ent. faecalis,IMP,-3.3967
Ent. faecalis,LIZ,1.0341
Ent. faecalis,PIP,7.2047
Ent. faecalis,PIT,-4.0052
Ent. faecalis,SXT,-0.3862
Ent. faecalis,TPL,0.2159
Ent. faecalis,VAN,0.8119
Ent. faecalis,AMS,-1.3651
Ent. faecalis,IMP,-1.4564
Ent. faecalis,LIZ,0.9973
Ent. faecalis,PIP,29.27
Ent. faecalis,PIT,-4.3894
Ent. faecalis,SXT,-0.2576
Ent. faecalis,TPL,-0.1192
Ent. faecalis,VAN,-0.156
P. aeruginosa,AMK,-0.5489
P. aeruginosa,AZT,-4.9152
P. aeruginosa,CAZ,-2.9417
P. aeruginosa,CIP,-0.6866
P. aeruginosa,COL,0.3536
P. aeruginosa,IMP,0.3393
P. aeruginosa,LEV,-0.782
P. aeruginosa,MER,-0.0935
P. aeruginosa,PIP,-15.4267
P. aeruginosa,PIT,-3.4633
P. aeruginosa,TOB,-0.2202
E. coli,AMK,-0.8559
E. coli,AMS,57.9588
E. coli,AZT,0.2654
E. coli,CAZ,0.2571
E. coli,CIP,-0.0193
E. coli,COL,-0.4975
E. coli,CTX,0.032
E. coli,CXM,-1.1742
E. coli,FOS,-6.438
E. coli,GEN,-0.0874
E. coli,IMP,-0.1649
E. coli,LEV,-0.0238
E. coli,MER,-0.0091
E. coli,MOX,-0.024
E. coli,PIP,58.0176
E. coli,PIT,-1.2765
E. coli,SXT,31.7388
E. coli,TOB,0.1605
S. aureus,AMK,-4.1277
S. aureus,AMS,-0.2705
S. aureus,CIP,-0.2386
S. aureus,CLI,-0.2397
S. aureus,CTX,-1.3918
S. aureus,CXM,-1.9498
S. aureus,DOX,-0.2127
S. aureus,DPT,-0.2997
S. aureus,FOS,-4.1822
S. aureus,GEN,-1.2521
S. aureus,IMP,-0.0814
S. aureus,LEV,-0.14
S. aureus,LIZ,-0.3656
S. aureus,MER,-0.18
S. aureus,MOX,0.0206
S. aureus,PIT,-0.0156
S. aureus,RAM,-0.0528
S. aureus,ROX,-1.6841
S. aureus,SXT,-0.0687
S. aureus,TOB,21.8389
S. aureus,TPL,-0.1713
S. aureus,VAN,-0.427
E. coli,AMK,-0.9523
E. coli,AMS,0.6384
E. coli,AZT,0.3072
E. coli,CAZ,15.7873
E. coli,CIP,-0.0332
E. coli,COL,3.1538
E. coli,CTX,0.0449
E. coli,CXM,-2.9168
E. coli,FOS,-6.1944
E. coli,GEN,-0.2046
E. coli,IMP,0.0108
E. coli,LEV,-0.1057
E. coli,MER,-0.0083
E. coli,MOX,-0.23
E. coli,PIP,-2.2207
E. coli,PIT,0.5861
E. coli,SXT,-0.6534
E. coli,TOB,0.0982
P. aeruginosa,AMK,0.6832
P. aeruginosa,AZT,29.5007
P. aeruginosa,CAZ,6.2985
P. aeruginosa,CIP,0.3527
P. aeruginosa,COL,0.3536
P. aeruginosa,IMP,0.566
P. aeruginosa,LEV,1.7863
P. aeruginosa,MER,0.3829
P. aeruginosa,PIP,10.472
P. aeruginosa,PIT,11.7317
P. aeruginosa,TOB,-0.3243
S. aureus,AMK,-6.8187
S. aureus,AMS,-0.4475
S. aureus,CIP,-0.482
S. aureus,CLI,-0.5568
S. aureus,CTX,-0.6268
S. aureus,CXM,-4.7807
S. aureus,DOX,-0.3483
S. aureus,DPT,-0.1225
S. aureus,FOS,-6.8211
S. aureus,GEN,-2.9664
S. aureus,IMP,-0.1862
S. aureus,LEV,-0.4553
S. aureus,LIZ,-0.3697
S. aureus,MER,-0.2026
S. aureus,MOX,-0.096
S. aureus,PIT,-1.2839
S. aureus,RAM,-0.0922
S. aureus,ROX,-2.7082
S. aureus,SXT,-0.0971
S. aureus,TOB,16.7069
S. aureus,TPL,-0.1675
S. aureus,VAN,-0.4564
E. coli,AMK,-0.6323
E. coli,AMS,-38.2487
E. coli,AZT,-1.4345
E. coli,CAZ,0.7592
E. coli,CIP,-1.9334
E. coli,COL,-0.3845
E. coli,CTX,-1.336
E. coli,CXM,-20.5393
E. coli,FOS,-13.2419
E. coli,GEN,-0.7112
E. coli,IMP,-0.2476
E. coli,LEV,-2.1788
E. coli,MER,-0.0523
E. coli,MOX,-4.7366
E. coli,PIP,7.8674
E. coli,PIT,-2.5545
E. coli,SXT,15.0877
E. coli,TOB,-0.0945
P. aeruginosa,AMK,2.5724
P. aeruginosa,AZT,-3.1445
P. aeruginosa,CAZ,-2.0417
P. aeruginosa,CIP,-0.04
P. aeruginosa,COL,1.3917
P. aeruginosa,IMP,1.4198
P. aeruginosa,LEV,0.0957
P. aeruginosa,MER,0.3541
P. aeruginosa,PIP,-34.199
P. aeruginosa,PIT,-2.7397
P. aeruginosa,TOB,0.0877
P. aeruginosa,AMK,-0.1343
P. aeruginosa,AZT,62.7695
P. aeruginosa,CAZ,1.0764
P. aeruginosa,CIP,0.0936
P. aeruginosa,COL,0.3955
P. aeruginosa,IMP,0.6774
P. aeruginosa,LEV,0.4482
P. aeruginosa,MER,0.1519
P. aeruginosa,PIP,-8.7106
P. aeruginosa,PIT,0.8897
P. aeruginosa,TOB,0.1884
E. coli,AMK,0.8183
E. coli,AMS,23.5063
E. coli,AZT,-0.2075
E. coli,CAZ,0.1726
E. coli,CIP,-0.0532
E. coli,COL,0.2337
E. coli,CTX,-0.0266
E. coli,CXM,1.1426
E. coli,FOS,6.6981
E. coli,GEN,0.5809
E. coli,IMP,-0.0111
E. coli,LEV,-0.0714
E. coli,MER,-0.0154
E. coli,MOX,-0.0448
E. coli,PIP,120.3282
E. coli,PIT,0.2175
E. coli,SXT,-0.4664
E. coli,TOB,0.6273
P. aeruginosa,AMK,0.7253
P. aeruginosa,AZT,12.3545
P. aeruginosa,CAZ,-0.281
P. aeruginosa,CIP,0.1574
P. aeruginosa,COL,1.4105
P. aeruginosa,IMP,0.5488
P. aeruginosa,LEV,0.8587
P. aeruginosa,MER,0.8756
P. aeruginosa,PIP,-8.1515
P. aeruginosa,PIT,2.9973
P. aeruginosa,TOB,0.1463
Ent. faecalis,AMS,3.7305
Ent. faecalis,IMP,1.9191
Ent. faecalis,LIZ,-0.359
Ent. faecalis,PIP,25.9949
Ent. faecalis,PIT,7.3396
Ent. faecalis,SXT,-0.0444
Ent. faecalis,TPL,0.1987
Ent. faecalis,VAN,0.1042
E. coli,AMK,2.5662
E. coli,AMS,-19.5114
E. coli,AZT,-0.6451
E. coli,CAZ,-0.1789
E. coli,CIP,-0.5043
E. coli,COL,-0.3455
E. coli,CTX,-0.4792
E. coli,CXM,-9.9308
E. coli,FOS,20.7955
E. coli,GEN,0.2063
E. coli,IMP,0.1222
E. coli,LEV,-0.6245
E. coli,MER,-0.0342
E. coli,MOX,-1.2649
E. coli,PIP,-10.6844
E. coli,PIT,-0.5979
E. coli,SXT,-4.2142
E. coli,TOB,0.0037
P. aeruginosa,AMK,0.5983
P. aeruginosa,AZT,5.7365
